folder,page_number,text_length,word_count,word_density,pharma_doc_type
image_test_1,1,1302,154,0.7864253393665158,unknown
image_test_1,2,1170,134,0.7407035175879397,unknown
image_test_1,3,605,67,0.7076023391812866,unknown
image_test_1,4,918,119,0.7945383615084526,unknown
image_test_1,5,1023,122,0.8053613053613053,unknown
image_test_1,6,440,48,0.7275132275132276,unknown
image_test_1,7,587,72,0.7188755020080321,unknown
image_test_1,8,572,65,0.7257383966244726,unknown
image_test_1,9,525,60,0.7482993197278912,unknown
image_test_1,10,276,28,0.6302521008403361,unknown
image_test_1,11,888,108,0.7856191744340879,unknown
image_test_1,12,319,21,0.4187725631768953,unknown
image_test_1,13,215,20,0.6108108108108108,unknown
image_test_1,14,211,22,0.6444444444444445,unknown
image_test_1,15,211,21,0.6373626373626373,unknown
image_test_1,16,98,4,0.2696629213483146,unknown
image_test_1,17,75,3,0.2,unknown
image_test_2,1,1409,169,0.8098827470686767,unknown
image_test_2,2,1161,134,0.7401415571284126,unknown
image_test_2,3,625,69,0.6996197718631179,unknown
image_test_2,4,754,91,0.8109375,unknown
image_test_2,5,998,114,0.7719087635054022,unknown
image_test_2,6,437,47,0.7211796246648794,unknown
image_test_2,7,585,68,0.7026476578411406,unknown
image_test_2,8,581,66,0.7371663244353183,unknown
image_test_2,9,548,63,0.7186147186147186,unknown
image_test_2,10,327,35,0.6773049645390071,unknown
image_test_2,11,882,102,0.7872340425531915,unknown
image_test_2,12,1048,124,0.8092031425364759,unknown
image_test_2,13,317,21,0.39416058394160586,unknown
image_test_2,14,213,20,0.6413043478260869,unknown
image_test_2,15,210,21,0.6263736263736264,unknown
image_test_2,16,200,20,0.6091954022988506,unknown
image_test_2,17,98,4,0.2696629213483146,unknown
image_test_2,18,76,3,0.2,unknown
image_test_3,1,1308,156,0.7917414721723519,unknown
image_test_3,2,1155,135,0.7467071935157041,unknown
image_test_3,3,635,70,0.7039106145251397,unknown
image_test_3,4,571,65,0.7489711934156379,unknown
image_test_3,5,1037,125,0.8011494252873563,unknown
image_test_3,6,433,48,0.7297297297297297,unknown
image_test_3,7,584,67,0.7026476578411406,unknown
image_test_3,8,562,64,0.7415254237288136,unknown
image_test_3,9,509,59,0.7534883720930232,unknown
image_test_3,10,325,35,0.6797153024911032,unknown
image_test_3,11,945,112,0.7972805933250927,unknown
image_test_3,12,880,105,0.7853333333333333,unknown
image_test_3,13,297,21,0.4426877470355731,unknown
image_test_3,14,212,21,0.639344262295082,unknown
image_test_3,15,212,19,0.5956284153005464,unknown
image_test_3,16,210,20,0.6373626373626373,unknown
image_test_3,17,98,4,0.2696629213483146,unknown
image_test_3,18,75,3,0.2,unknown
image_test_4,1,1307,155,0.7915543575920935,unknown
image_test_4,2,1177,139,0.7437686939182453,unknown
image_test_4,3,741,81,0.7476038338658147,unknown
image_test_4,4,732,89,0.7900641025641025,unknown
image_test_4,5,1089,130,0.8,unknown
image_test_4,6,437,48,0.72,unknown
image_test_4,7,585,67,0.6997971602434077,unknown
image_test_4,8,572,60,0.7118279569892473,unknown
image_test_4,9,492,56,0.7373493975903614,unknown
image_test_4,10,277,29,0.6276150627615062,unknown
image_test_4,11,944,113,0.8002481389578163,unknown
image_test_4,12,867,99,0.7836021505376344,unknown
image_test_4,13,337,26,0.4230769230769231,unknown
image_test_4,14,206,20,0.6460674157303371,unknown
image_test_4,15,212,19,0.6098901098901099,unknown
image_test_4,16,212,21,0.6077348066298343,unknown
image_test_4,17,98,4,0.2696629213483146,unknown
image_test_4,18,74,3,0.2028985507246377,unknown
image_test_5,1,1301,153,0.7841011743450768,unknown
image_test_5,2,1169,133,0.7392176529588766,unknown
image_test_5,3,691,75,0.7232597623089984,unknown
image_test_5,4,881,113,0.7975871313672922,unknown
image_test_5,5,1059,126,0.7754189944134078,unknown
image_test_5,6,442,47,0.7241379310344828,unknown
image_test_5,7,578,72,0.7177914110429447,unknown
image_test_5,8,626,74,0.744140625,unknown
image_test_5,9,523,60,0.7482993197278912,unknown
image_test_5,10,276,28,0.6302521008403361,unknown
image_test_5,11,867,103,0.7813765182186235,unknown
image_test_5,12,347,26,0.4161073825503356,unknown
image_test_5,13,213,20,0.6413043478260869,unknown
image_test_5,14,214,22,0.6467391304347826,unknown
image_test_5,15,210,21,0.6388888888888888,unknown
image_test_5,16,99,4,0.26666666666666666,unknown
image_test_5,17,76,4,0.24285714285714285,unknown
