file,pages,ocr_pages,load_time_s,chunk_time_s,total_ingest_s,chunk_count,avg_chunk_chars
test_1.pdf,13,0,0.0257,0.5606,0.5863,23,1310.0
test_10.pdf,2,0,0.0114,0.001,0.0124,2,987.0
test_11.pdf,2,0,0.0116,0.0008,0.0124,2,951.0
test_12.pdf,2,0,0.0185,0.0009,0.0194,2,1236.5
test_13.pdf,2,0,0.0105,0.0008,0.0113,2,979.5
test_14.pdf,32,0,0.0354,0.0072,0.0427,32,888.3
test_2.pdf,12,0,0.0119,0.0124,0.0244,21,1166.8
test_3.pdf,12,0,0.0157,0.0106,0.0263,21,1226.9
test_4.pdf,13,0,0.0168,0.0134,0.0302,24,1229.2
test_5.pdf,10,0,0.0071,0.0047,0.0119,10,968.7
test_7.pdf,18,1,0.3186,0.0045,0.3231,18,701.2
test_8.pdf,18,1,0.3416,0.0059,0.3475,19,691.2
test_9.pdf,18,1,0.355,0.0052,0.3601,18,707.3
